,The Pocket (Marshalls Creek),Durrumbul (Brunswick River),Mullumbimby Creek (Mullumbimby Ck),Billinudgel (Marshalls Creek),Brunswick Heads (Tidal)
2005-11-26 00:00:00,1.6681171548117155,0.6533333333333334,0.3436363636363637,0.3206451612903226,0.31896551724137934
2005-11-27 00:00:00,1.5948399999999998,0.6517647058823529,0.3745833333333333,0.29071005917159765,0.3083333333333333
2005-11-28 00:00:00,1.5133971291866029,0.7525000000000001,0.30573529411764705,0.30589285714285713,0.3341176470588235
2005-11-29 00:00:00,1.5473770491803278,0.6654545454545455,0.3505263157894737,0.3431578947368421,0.3653703703703704
2005-11-30 00:00:00,1.6142953020134228,0.6467058823529411,0.31285714285714283,0.37537037037037035,0.41000000000000003
2005-12-01 00:00:00,1.6396478873239437,0.6583018867924528,0.32473684210526316,0.39990990990990993,0.4324
2006-01-30 00:00:00,2.8602000000000003,0.73,0.5712994350282486,0.5636666666666666,0.4685
2006-01-31 00:00:00,2.8853684210526316,0.7158333333333333,0.517927927927928,0.5584408602150538,0.4721951219512195
2006-02-01 00:00:00,2.989347826086956,0.7014545454545456,0.36466666666666664,0.5669230769230769,0.4297674418604651
2006-02-02 00:00:00,2.9265405405405405,0.6845833333333333,0.34924242424242424,0.49547826086956526,0.41545454545454547
2006-02-03 00:00:00,2.9491240875912412,0.675,0.34950000000000003,0.4244897959183674,0.4122
2006-02-04 00:00:00,3.0113207547169814,0.6652380952380953,0.3074193548387097,0.343641975308642,0.353
2006-02-05 00:00:00,3.024705882352941,0.67,0.3913829787234043,0.31391891891891893,0.2958181818181818
2006-02-06 00:00:00,3.0937671232876713,0.6726666666666666,0.4102777777777778,0.34324503311258275,0.2968333333333334
2006-02-07 00:00:00,3.0389411764705883,0.6688000000000001,0.2753061224489796,0.3088034188034188,0.2922448979591837
2006-02-08 00:00:00,3.0169642857142853,0.6545454545454545,0.35,0.3532432432432432,0.3187037037037037
2006-02-09 00:00:00,3.1016058394160586,0.6452941176470589,0.2627118644067797,0.34531073446327687,0.3531372549019608
2006-02-10 00:00:00,3.0630817610062895,0.6356666666666667,0.34,0.35401197604790424,0.361
2006-02-11 00:00:00,3.043674033149171,0.63515625,0.3433333333333333,0.36685863874345553,0.3842553191489361
2006-02-12 00:00:00,3.1479381443298973,0.6335,0.2852,0.3599431818181818,0.34444444444444444
2006-02-13 00:00:00,3.3116666666666665,0.6324000000000001,2.0063636363636363,0.3505056179775281,4.05225
2006-02-14 00:00:00,3.3598728813559324,0.6421052631578947,0.5006233062330623,0.3599310344827586,0.3982608695652174
2006-02-15 00:00:00,3.1250282485875704,0.7746534653465346,0.7905031446540881,0.3545323741007194,0.2536842105263158
2006-02-16 00:00:00,2.9895620437956203,0.8787301587301587,0.37324324324324326,0.07712328767123287,0.3708695652173913
2006-02-17 00:00:00,3.0317857142857143,0.7564705882352941,0.31323529411764706,0.035,0.35770833333333335
2006-02-23 00:00:00,3.1333333333333333,0.6583333333333333,0.3409090909090909,0.028571428571428574,0.3
2006-02-24 00:00:00,3.1129761904761906,0.6713043478260871,0.30974358974358973,0.06888888888888889,0.3542105263157895
2006-02-25 00:00:00,3.271125,0.6795652173913044,0.7085148514851486,0.10680851063829788,0.4094736842105263
2006-02-26 00:00:00,3.298962962962963,0.6577777777777778,0.35,0.15117647058823527,0.4854385964912281
2006-02-27 00:00:00,3.356376811594203,0.7045098039215686,0.28619047619047616,0.14359550561797751,0.5239622641509434
2006-02-28 00:00:00,3.588640776699029,0.9403333333333332,0.5577894736842105,0.20234693877551022,0.576734693877551
2006-03-01 00:00:00,3.5737426900584794,0.8518421052631578,0.775634328358209,0.17212669683257917,0.5874
2006-03-02 00:00:00,3.613373493975904,0.8082222222222223,0.365,0.20547169811320756,0.5596296296296296
2006-03-03 00:00:00,3.689426751592357,1.35144,0.741948051948052,0.23690909090909093,0.5565573770491804
2006-03-04 00:00:00,4.529673913043479,2.2710649350649352,0.8642660550458715,1.3468067226890756,0.5551724137931034
2006-03-05 00:00:00,4.62955,2.2172346368715083,0.832515337423313,1.414402985074627,0.47600000000000003
2006-03-06 00:00:00,4.238571428571429,1.6995901639344262,0.645962962962963,1.1826900584795321,0.36197368421052634
2006-03-07 00:00:00,4.098924731182795,1.2032926829268293,0.5270588235294118,0.5883193277310925,0.31032258064516133
2006-03-08 00:00:00,3.9669791666666665,1.0627027027027027,0.44222222222222224,0.2795918367346939,0.29766666666666663
2006-03-09 00:00:00,3.968536585365854,0.9607692307692308,0.43277777777777776,0.15642857142857144,0.28425925925925927
2006-03-10 00:00:00,3.6784563758389264,0.8970212765957447,0.429,0.09129032258064516,0.3164705882352941
2006-03-11 00:00:00,3.8664545454545456,0.8482758620689655,0.5599999999999999,0.09541666666666666,0.33882352941176475
2006-03-12 00:00:00,4.094473684210527,0.8146875,0.40588235294117647,0.08841269841269842,0.3564705882352941
2006-03-13 00:00:00,4.214158878504673,0.79,0.31891891891891894,0.06528301886792452,0.382
2006-03-14 00:00:00,4.0628310502283105,0.7667796610169492,0.3486046511627907,0.05409090909090909,0.3969565217391305
2006-03-15 00:00:00,3.879351464435146,0.7520338983050847,0.5051231527093596,0.017777777777777778,0.3657777777777778
2006-03-16 00:00:00,3.9744,0.735945945945946,0.35565573770491804,0.0,0.38
2006-03-22 00:00:00,4.101542699724519,0.685,0.37153846153846154,0.0275,0.3062962962962963
2006-03-23 00:00:00,4.211645569620253,0.7166,0.42671641791044773,0.031395348837209305,0.3225490196078431
